epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,3127.48,0.8296,0.46585,1.21945,0.97549,0.96743,0.99138,0.65331,1.3295,0.53312,1.83043,0.0020305,0.0020305,0.0020305
163,3147.02,0.82709,0.46302,1.22306,0.96067,0.96743,0.98524,0.65845,1.3288,0.52492,1.82138,0.001981,0.001981,0.001981
164,3168.31,0.81685,0.45623,1.20597,0.96956,0.95114,0.98319,0.65802,1.34759,0.51676,1.86342,0.0019315,0.0019315,0.0019315
165,3189.23,0.81718,0.46043,1.20341,0.94988,0.96417,0.97867,0.65263,1.33233,0.52479,1.8545,0.001882,0.001882,0.001882
166,3209.25,0.80081,0.45971,1.19841,0.96688,0.95097,0.98206,0.65844,1.33731,0.53235,1.8712,0.0018325,0.0018325,0.0018325
167,3228.74,0.81196,0.454,1.19702,0.97028,0.95708,0.98353,0.65317,1.32761,0.52634,1.85551,0.001783,0.001783,0.001783
168,3250.11,0.80269,0.4449,1.2028,0.96662,0.96417,0.98609,0.65834,1.32585,0.53311,1.83845,0.0017335,0.0017335,0.0017335
169,3269.44,0.79852,0.44746,1.19411,0.96882,0.97394,0.98804,0.65828,1.33925,0.51539,1.85384,0.001684,0.001684,0.001684
170,3290.13,0.79004,0.43634,1.1865,0.9738,0.96856,0.98537,0.65905,1.34239,0.52488,1.85521,0.0016345,0.0016345,0.0016345
171,3312.55,0.79266,0.44824,1.19418,0.97918,0.96417,0.98681,0.65994,1.34244,0.51757,1.87331,0.001585,0.001585,0.001585
172,3332.31,0.78683,0.44374,1.18662,0.9819,0.95765,0.98458,0.65993,1.36392,0.52756,1.88134,0.0015355,0.0015355,0.0015355
173,3351.53,0.78191,0.43687,1.18374,0.97225,0.9544,0.98871,0.66088,1.34849,0.52666,1.87138,0.001486,0.001486,0.001486
174,3370.84,0.7869,0.44528,1.18851,0.97691,0.96462,0.99069,0.65496,1.34408,0.53468,1.87158,0.0014365,0.0014365,0.0014365
175,3390.58,0.78301,0.43571,1.18144,0.98237,0.96417,0.99106,0.66215,1.34197,0.53106,1.87539,0.001387,0.001387,0.001387
176,3410.18,0.77654,0.44041,1.18266,0.97358,0.96013,0.98561,0.65709,1.34642,0.52198,1.87544,0.0013375,0.0013375,0.0013375
177,3430.96,0.77761,0.44563,1.18583,0.97363,0.9622,0.98894,0.66398,1.33592,0.5199,1.85796,0.001288,0.001288,0.001288
178,3451.86,0.76982,0.4343,1.18178,0.97116,0.95765,0.98846,0.66081,1.33018,0.51996,1.86479,0.0012385,0.0012385,0.0012385
179,3473.73,0.77186,0.43849,1.17397,0.97367,0.96376,0.98832,0.65865,1.33997,0.52045,1.88269,0.001189,0.001189,0.001189
180,3495.81,0.78168,0.43315,1.17591,0.97668,0.95508,0.99035,0.65826,1.33143,0.53799,1.88119,0.0011395,0.0011395,0.0011395
